year_week,hafta_baslangic,haftalik_satis,tahmin,hata,hata_yuzdesi
2021-W36,2021-09-06,17862,18782.045015718533,-920.0450157185333,5.150851056536408
2021-W37,2021-09-13,25952,26395.406540125878,-443.40654012587765,1.7085640417920687
2021-W38,2021-09-20,24489,25287.61468856487,-798.6146885648704,3.261115964575403
2021-W39,2021-09-27,22496,23499.230005613987,-1003.2300056139866,4.459592841456199
2021-W40,2021-10-04,19710,19481.600122203214,228.3998777967863,1.1588020182485352
2021-W41,2021-10-11,24377,24037.763480311853,339.2365196881474,1.3916253833045387
2021-W42,2021-10-18,30607,30245.036979172342,361.9630208276576,1.1826151561004268
